id,jozz,sura_no,page,aya_no
825,7,6,132,36
826,7,6,132,37
827,7,6,132,38
828,7,6,132,39
829,7,6,132,40
830,7,6,132,41
831,7,6,132,42
832,7,6,132,43
833,7,6,132,44
834,7,6,133,45
835,7,6,133,46
836,7,6,133,47
837,7,6,133,48
838,7,6,133,49
839,7,6,133,50
840,7,6,133,51
841,7,6,133,52
842,7,6,134,53
843,7,6,134,54
844,7,6,134,55
845,7,6,134,56
846,7,6,134,57
847,7,6,134,58
848,7,6,134,59
849,7,6,135,60
850,7,6,135,61
851,7,6,135,62
852,7,6,135,63
853,7,6,135,64
854,7,6,135,65
855,7,6,135,66
856,7,6,135,67
857,7,6,135,68
858,7,6,136,69
859,7,6,136,70
860,7,6,136,71
861,7,6,136,72
862,7,6,136,73
863,7,6,137,74
864,7,6,137,75
865,7,6,137,76
866,7,6,137,77
867,7,6,137,78
868,7,6,137,79
869,7,6,137,80
870,7,6,137,81
871,7,6,138,82
872,7,6,138,83
873,7,6,138,84
874,7,6,138,85
875,7,6,138,86
876,7,6,138,87
877,7,6,138,88
878,7,6,138,89
879,7,6,138,90
880,7,6,139,91
881,7,6,139,92
882,7,6,139,93
883,7,6,139,94
884,7,6,140,95
885,7,6,140,96
886,7,6,140,97
887,7,6,140,98
888,7,6,140,99
889,7,6,140,100
890,7,6,140,101
891,7,6,141,102
892,7,6,141,103
893,7,6,141,104
894,7,6,141,105
895,7,6,141,106
896,7,6,141,107
897,7,6,141,108
898,7,6,141,109
899,7,6,141,110
900,8,6,142,111
901,8,6,142,112
902,8,6,142,113
903,8,6,142,114
904,8,6,142,115
905,8,6,142,116
906,8,6,142,117
907,8,6,142,118
908,8,6,143,119
909,8,6,143,120
910,8,6,143,121
911,8,6,143,122
912,8,6,143,123
913,8,6,143,124
914,8,6,144,125
915,8,6,144,126
916,8,6,144,127
917,8,6,144,128
918,8,6,144,129
919,8,6,144,130
920,8,6,145,131
921,8,6,145,132
922,8,6,145,133
923,8,6,145,134
924,8,6,145,135
925,8,6,145,136
926,8,6,145,137
